caption	url	width	height	absolute_image_path	index	subject	prompt
Nissan Cedric GranTurismo Ultima sedan	https://upload.wikimedia.org/wikipedia/commons/a/ae/NISSAN_Cedric_Y33_GranTurismo_Ultima_rear.jpg	2809	1165	/data/output_images/00000/000004278.jpg	95	Nissan Cedric GranTurismo Ultima sedan	A Nissan Cedric GranTurismo Ultima sedan parked in front of a modern skyscraper
G 63 AMG with revised front end	https://upload.wikimedia.org/wikipedia/commons/b/b8/Mercedes-Benz_G_63_AMG_2012.JPG	2832	1888	/data/output_images/00000/000002560.jpg	53	G 63 AMG	A G 63 AMG driving through a rugged mountain trail
Svensson's copper underwing caterpillar	http://upload.wikimedia.org/wikipedia/commons/d/d2/Amphipyra_berbera_-_Svenssons_Pyramideneule_03_%28HS%29.jpg	1348	1800	/data/output_images/00000/000004223.jpg	94	Svensson's copper underwing caterpillar	Svensson's copper underwing caterpillar resting on a vibrant flower in a sunny meadow
Windmill in Netherlands	https://upload.wikimedia.org/wikipedia/commons/e/ef/Keetmolen_in_Ede.jpg	1627	2227	/data/output_images/00000/000002354.jpg	51	Windmill	A traditional windmill standing on a hilltop overlooking a vibrant sunflower field
FLF Panther airport crash tender in Germany	https://upload.wikimedia.org/wikipedia/commons/9/9b/Altenburg-Nobitz_Airport_Rosenbauer_Panther.jpg	2592	1944	/data/output_images/00000/000001930.jpg	44	FLF Panther airport crash tender	An FLF Panther airport crash tender driving through a busy city street
Istrian Short-haired Hound	https://upload.wikimedia.org/wikipedia/commons/1/12/Istrische_Bracke.jpg	700	520	/data/output_images/00000/000004350.jpg	97	Istrian Short-haired Hound	An Istrian Short-haired Hound playing on a sandy beach
Taurus PT92 in stainless steel with golden controls	https://upload.wikimedia.org/wikipedia/commons/d/de/ARMS_%26_Hunting_2012_exhibition_%28474-17%29.jpg	2250	1450	/data/output_images/00000/000001542.jpg	38	Taurus PT92	A Taurus PT92 in stainless steel with golden controls displayed on a wooden table in a rustic cabin
Can-Am Spyder	http://upload.wikimedia.org/wikipedia/commons/9/9e/Can-Am_Spyder_RSS_%2801%29.jpg	3000	2000	/data/output_images/00000/000000298.jpg	8	Can-Am Spyder	A Can-Am Spyder cruising along a scenic coastal road
Malabar grey hornbill (Scientific name:Ocyceros griseus), a hornbill species commonly found in the Western ghats and southern India	https://upload.wikimedia.org/wikipedia/commons/1/11/MalabarGreyhornbill.jpg	3600	2400	/data/output_images/00000/000000312.jpg	13	Malabar grey hornbill	A Malabar grey hornbill perched on a branch in a tropical rainforest
A European honey bee collects nectar, while pollen collects on its body.	https://upload.wikimedia.org/wikipedia/commons/1/1d/European_honey_bee_extracts_nectar.jpg	1620	1280	/data/output_images/00000/000001548.jpg	39	European honey bee	A European honey bee collecting nectar in a vibrant sunflower field
The Volkswagen New Beetle	https://upload.wikimedia.org/wikipedia/commons/8/82/2002_Volkswagen_New_Beetle_%289C_MY02.5%29_2.0_coupe_%282010-10-01%29_01.jpg	3708	1986	/data/output_images/00000/000003094.jpg	65	Volkswagen New Beetle	A Volkswagen New Beetle driving along a scenic coastal road
A replica of a Burmese royal throne at the Kanbawzathadi Palace.	https://upload.wikimedia.org/wikipedia/commons/e/e5/Kanbawzathadi_Palace_-_Bago%2C_Myanmar_20130219-07.jpg	3840	5760	/data/output_images/00000/000003588.jpg	81	Burmese royal throne	A Burmese royal throne displayed in a grand museum hall with elegant lighting
Gold Jesus Piece detailed with gems.	https://upload.wikimedia.org/wikipedia/commons/f/f6/Jesus_Piece.jpg	568	567	/data/output_images/00000/000000112.jpg	1	Gold Jesus Piece	A Gold Jesus Piece pendant displayed on a velvet cushion in an elegant jewelry store
Shovelnose guitarfish in the touch pool	https://upload.wikimedia.org/wikipedia/commons/7/78/Rhinobatos_productus_chulavista_2.jpg	3456	2304	/data/output_images/00000/000004526.jpg	103	Shovelnose guitarfish	A Shovelnose guitarfish swimming gracefully in a vibrant coral reef
2006Ã¢ÂÂ2008 Honda Civic EX coupe (US)	https://upload.wikimedia.org/wikipedia/commons/c/c1/06-07_Honda_Civic_Coupe.jpg	1504	800	/data/output_images/00000/000001300.jpg	30	2006–2008 Honda Civic EX coupe	A 2006–2008 Honda Civic EX coupe driving along a coastal road with ocean views
Nubian ibex at feeding time	https://upload.wikimedia.org/wikipedia/commons/5/58/Jerusalem_Zoo_Nubian_ibex.jpg	3648	2736	/data/output_images/00000/000002698.jpg	56	Nubian ibex	A Nubian ibex grazing on lush grass in a vibrant green meadow
The Gandegg Hut with the Breithorn in background	https://upload.wikimedia.org/wikipedia/commons/a/a1/Gandeggh%C3%BCtte%2C2012.JPG	4096	3072	/data/output_images/00000/000000695.jpg	25	Gandegg Hut	The Gandegg Hut situated on a snowy mountain peak during a vibrant sunset
